,url,brands,iphih1,sizedetails,sizedetail,ipiBoxi
62,https://diza.gallery/product-1946/clouds_earrings_ArghavanRouzbeh_Diza#421589427,"['', 'Arghavan Rouzbeh']","['رنگ های دیگر:', 'سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nتلفیق با نقاشی : مونه'],"['سایز : FREE', 'تلفیق با نقاشی : مونه']","['پنجره\u200cای به دنیایی رنگی\u200cتر و شاد\u200c\u200cتر. یک اکسسوری شاداب\u200c با\u200cرنگ\u200c درخشان که\u200c جسورانه با شما همراه شده و خودنمایی می\u200cکند.', '', '']"
63,https://diza.gallery/product-1946/clouds_earrings_ArghavanRouzbeh_Diza#531479611,"['', 'Arghavan Rouzbeh']","['رنگ های دیگر:', 'سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nتلفیق با نقاشی : مونه'],"['سایز : FREE', 'تلفیق با نقاشی : مونه']","['پنجره\u200cای به دنیایی رنگی\u200cتر و شاد\u200c\u200cتر. یک اکسسوری شاداب\u200c با\u200cرنگ\u200c درخشان که\u200c جسورانه با شما همراه شده و خودنمایی می\u200cکند.', '', '']"
64,https://diza.gallery/product-1946/clouds_earrings_ArghavanRouzbeh_Diza#57368031,"['', 'Arghavan Rouzbeh']","['رنگ های دیگر:', 'سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nتلفیق با نقاشی : مونه'],"['سایز : FREE', 'تلفیق با نقاشی : مونه']","['پنجره\u200cای به دنیایی رنگی\u200cتر و شاد\u200c\u200cتر. یک اکسسوری شاداب\u200c با\u200cرنگ\u200c درخشان که\u200c جسورانه با شما همراه شده و خودنمایی می\u200cکند.', '', '']"
65,https://diza.gallery/product-1946/clouds_earrings_ArghavanRouzbeh_Diza#6315802,"['', 'Arghavan Rouzbeh']","['رنگ های دیگر:', 'سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nتلفیق با نقاشی : مونه'],"['سایز : FREE', 'تلفیق با نقاشی : مونه']","['پنجره\u200cای به دنیایی رنگی\u200cتر و شاد\u200c\u200cتر. یک اکسسوری شاداب\u200c با\u200cرنگ\u200c درخشان که\u200c جسورانه با شما همراه شده و خودنمایی می\u200cکند.', '', '']"
66,https://diza.gallery/product-1947/long_vest_ToktamHemmati_Diza#35892125,"['', 'TOKTAM HEMMATI']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['این محصول الیاف طبیعی با طراحی هندسی، یک انتخاب عالی برای فصول گرم است.', 'توضیحات محصول\nالیاف طبیعی با رنگرزی گیاهی صددرصد نخ', 'نحوه مراقبت\nشستشوی دستی\nدمای 30 درجه']"
67,https://diza.gallery/product-1947/long_vest_ToktamHemmati_Diza#52157042,"['', 'TOKTAM HEMMATI']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['این محصول الیاف طبیعی با طراحی هندسی، یک انتخاب عالی برای فصول گرم است.', 'توضیحات محصول\nالیاف طبیعی با رنگرزی گیاهی صددرصد نخ', 'نحوه مراقبت\nشستشوی دستی\nدمای 30 درجه']"
68,https://diza.gallery/product-1950/termehdarayi_suit_NargessTaafi_Diza#24690637,"['', 'nargesTafi']","['سایز های محصول', 'مشخصات سایز']",['سایز : 1\nمناسب سایز : مناسب'],"['سایز : 1', 'مناسب سایز : مناسب']","['این کت و شلوار دستباف با نقش ترمه به استایل شما را با رنگ های زیبا آذین بخشد.', 'جزئیات محصول\nجنس این محصول دارایی دستباف یزد است.\nمناسب سایز 36 تا 40', 'نحوه مراقبت\nخشک شویی شود.']"
69,https://diza.gallery/product-1951/crystal_pink_vest_NargessTaafi_Diza#5794168,"['', 'nargesTafi']","['سایز های محصول', 'مشخصات سایز']",['سایز : 1\nقد : 121cm\nسرشانه : 10cm\nفاصله بین دو زیر بغل : 47cm\nمناسب سایز : 36'],"['سایز : 1', 'قد : 121cm', 'سرشانه : 10cm', 'فاصله بین دو زیر بغل : 47cm', 'مناسب سایز : 36']","['این محصول با رنگ ملیح و طراحی ساده جای خود را در کمد شما پیدا خواهد کرد.', 'جزئیات محصول\nمناسب سایز 36 تا 40']"
70,https://diza.gallery/product-1952/beige_suit_NargesTtaafi_Diza#57931589,"['', 'nargesTafi']","['سایز های محصول', 'مشخصات سایز']",['سایز : 1\nقد کت : 76cm\nسرشانه : 13cm\nآستین : 60cm\nفاصله بین دو زیر بغل : 48cm\nدور کمر : 36cm\nقد شلوار : 112cm\nفاق : 36cm'],"['سایز : 1', 'قد کت : 76cm', 'سرشانه : 13cm', 'آستین : 60cm', 'فاصله بین دو زیر بغل : 48cm', 'دور کمر : 36cm', 'قد شلوار : 112cm', 'فاق : 36cm']","['همراهی هنرمندانه سادگی و وقار در این محصوب می تواند آن را به آیتم محبوب کمدتان تبدیل کند.', 'جزئیات محصول\nمناسب سایز 36 و 38', 'توضیحات محصول\nجنس این محصول کتان نخ است', 'نحوه مراقبت\nخشک شویی شود']"
71,https://diza.gallery/product-1953/2girl_scarf_Sav_Diza#52256804,"['', 'SAV']",['سایز های محصول'],None,None,None
