,Links,brands,iphih1,sizedetails,sizedetail,ipiBoxi
633,https://diza.gallery/product-1751/clutch_naghmeh_kiomarsi_Diza#457092457,"['', 'نغمه کیومرثی']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,"['کلاچ\u200cهای نغمه کیومرثی آن عنصر اصیل، با هویت و چشم\u200cگیری است که استایل رسمی و مهمانی\u200cهای شما را با میراث پوشاک ایرانی پیوند می\u200cدهد.', 'جزئیات محصول\nدوخته شده از مخمل با کوک\u200cهای دستی و پیکسل\u200cهای سنتی.\nروش بسته شدن : دکمه\u200cی فشاری.', 'پارچه\u200c\u200cهای سنتی\nدست دوز\nمد_اخلاقی']"
634,https://diza.gallery/product-1751/clutch_naghmeh_kiomarsi_Diza#689425798,"['', 'نغمه کیومرثی']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,"['کلاچ\u200cهای نغمه کیومرثی آن عنصر اصیل، با هویت و چشم\u200cگیری است که استایل رسمی و مهمانی\u200cهای شما را با میراث پوشاک ایرانی پیوند می\u200cدهد.', 'جزئیات محصول\nدوخته شده از مخمل با کوک\u200cهای دستی و پیکسل\u200cهای سنتی.\nروش بسته شدن : دکمه\u200cی فشاری.', 'پارچه\u200c\u200cهای سنتی\nدست دوز\nمد_اخلاقی']"
635,https://diza.gallery/product-1752/black_pocket_shirt_Modam_Diza#457892325,"['', 'MODAM']",['سایز های محصول'],None,None,None
636,https://diza.gallery/product-1758/silk_colorfull_dress_Naghmehkiomarsi_Diza#34790542146,"['', 'نغمه کیومرثی']",['سایز های محصول'],None,None,"['الیاف طبیعی و نفیس، پارچه\u200cهای دست\u200cبافت، دوخت بی\u200cنقص و حمایت از نساجی سنتی، از مزایای داشتن آثار نغمه کیومرثی هستند و این پیراهن همه\u200cی آن\u200cها است. دوخته شده از پارچه\u200cی ابریشم دارایی\u200cبافی شده، این پیراهن با برش آزادش بر هر تنی به زیبایی می\u200cنشیند و آسودگی و زیبایی را همزمان ارائه می\u200cکند. اثری مینیمال که طراحی ساده\u200cاش با جزئیات رنگ\u200cها و دریپینگ\u200cهای کنارش از یکنواختی درآمده و ظاهری پویا، سرزنده و فارق از زمان دارد.', 'جزئیات محصول\nدوخته شدا از ابریشم داراییبافی شده.\nپیراهن آزاد با دریپینگ نامتقارن در کنارها.\nجلو بسته.', 'توضیحات محصول\nمناسب سایز 36 و 38', 'پارچه\u200c\u200cهای سنتی\nالیاف طبیعی\nپارچه\u200cهای نفیس\nتابستانه\nبهاره\nمناسب تمام فصول\nمد_اخلاقی\nدست\u200cباف']"
637,https://diza.gallery/product-1760/black_polak_blazer_Mehrnooshshahhosseini_Diza#458042157,"['', 'mehrnoosh shahhosseini']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 60cm\nسرشانه : 34cm\nآستین : 33cm\nفاصله بین دو زیر بغل : 68cm'],"['سایز : FREE', 'قد : 60cm', 'سرشانه : 34cm', 'آستین : 33cm', 'فاصله بین دو زیر بغل : 68cm']",['اثری نفیس با دوخت با\u200c دوام. این کت پولک دوزی شده\u200cی شاه\u200cحسینی با طراحی خیره کننده خود تا سال ها شما را با کیفیت روز اول همراهی خواهد کرد. این کت را با دیگر عناصر پوشش خود همراه کنید و استایلی مناسب موقعیت\u200cهای رسمی و نیمه\u200c رسمی داشته باشید.']
638,https://diza.gallery/product-1762/black_cape_Arigatorosian_Rezanadimi_Diza#3579357811,"['', 'ariga torosian']","['سایز های محصول', 'ناموجود!']",None,None,['آریگا توروسیان در طراحی این پیراهن مشکی با اتکا به دانش خود در زمینه ی گرافیک و مجسمه سازی موفق به ایجاد نوعی نظم بصری شده. رنگ مشکی این پیراهن برای راحتی بصری انتخاب شده که ریشه ی آن را می توان در هنر شرقی و هنر مینیمال جستجو کرد. طراحی آگاهانه ی php20 به هر تنی خوش می نشیند و در هم نشینی با دیگر المان های پوشش با هر استایلی سازگار می\u200cشود. کیفیت در انتخاب پارچه و دوخت این پیراهن تماما در راستای ارزش های مد پایدار است که در نتیجه، همراهی طولانی مدت آن را موجب می شود. اثری ماندگار در زمان با امضای منحصر به فرد توروسیان.']
639,https://diza.gallery/product-1763/Black_trousars_zee_Diza#2445776932,"['', 'zi']","['سایز های محصول', 'ناموجود!']",None,None,"['شلوار سوزن دوزی ""زی"" انتخابی اصیل برای استایلی متفاوت در مهمانی های عصر و شب است. برش آزاد این شلوار بر هر تنی به زیبایی می\u200cنشیند. این شلوار زی مناسب تمامی فصول می\u200cباشد.']"
640,https://diza.gallery/product-1764/koushk_trousars_Ou_Diza#324368113,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,"['او” برای طراحی این شلوار به سراغ فلسفه\u200cی چهار باغ و معماری کوشک در تاریخ هنر و معماری ایران می\u200cرود. رنگ خنثی این اثر به مخاطب اجازه می\u200cدهد تا او را به راحتی با دیگر عناصر استایلش ترکیب کند. اثری با دوام و دوخته شده از تافته\u200cی ابریشم و کمر چرخ\u200cکاری شده.', 'جزئیات محصول\nکمر چرخ\u200cکاری شده\nپشت کمر کش دارد.\nمناسب سایز 36 تا 40']"
641,https://diza.gallery/product-1764/koushk_trousars_Ou_Diza#568932678,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,"['او” برای طراحی این شلوار به سراغ فلسفه\u200cی چهار باغ و معماری کوشک در تاریخ هنر و معماری ایران می\u200cرود. رنگ خنثی این اثر به مخاطب اجازه می\u200cدهد تا او را به راحتی با دیگر عناصر استایلش ترکیب کند. اثری با دوام و دوخته شده از تافته\u200cی ابریشم و کمر چرخ\u200cکاری شده.', 'جزئیات محصول\nکمر چرخ\u200cکاری شده\nپشت کمر کش دارد.\nمناسب سایز 36 تا 40']"
642,https://diza.gallery/product-1765/green_striped_scarf-Ze_Diza#3557932467,"['', 'ز']",['سایز های محصول'],None,None,None
